id,title,description,url,rating,total_reviews
139,Relativity,"Relativity (previously kCura) is cloud-based eDiscovery software that offers case assessment, fact management, review, production, analytics and legal hold functionalities within a suite. Android and iOS apps available.      Relativity features legal hold, which provides users a template library to create hold notices and correspondences. It also allows users to create customizable questionnaires with the help of conditional question forms, alerts and reviews.      Relativity also features early case assessment, which allows users to investigate cases on the basis of available data. Users can also eliminate data not relevant to cases using filters. The product also features document management, which allows users to organize files based on various attributes.      Relativity offers a fact-manager module, which allows users to organizes facts and findings in a chronological order. The product also uses different textual-analytics techniques, such as near duplicates, clustering, language ID, keyword expansion and similar document detection.    ",https://www.softwareadvice.com/legal/relativity-profile,4.19,51.0
140,Amicus Cloud,"With Amicus Cloud (formerly Amicus Online) legal practice management software you can access your practice 24/7 from any computer or mobile device. Combine your contacts, cases and calendar in an intuitive system that helps you stay efficient. This next-generation cloud solution is built with the highest security standards and gives you freedom to work the way you want to wherever you choose.      Amicus Cloud gives you access to a web browser-based law firm management solution that makes capturing client details and managing case files simple and easy. Schedule and track critical deadlines, tasks and appointments with rule-based legal calendaring, generate documents automatically, and collaborate within the firm and with your clients so you never miss a billable moment again. The native time-tracking, billing and invoicing features also integrate with QuickBooks so your firm’s finances are managed without undue effort. Using the PayNow feature of Abacus Payment Exchange, you can generate invoices that can be delivered via email and paid immediately. When you need to set appointments and securely share documents with your clients, easily access the Amicus Online Client Portal anytime, anywhere!    ",https://www.softwareadvice.com/legal/amicus-online-profile,5.0,1.0
141,Case.one,"Case.one is a cloud-based case management solution designed for legal businesses of all sizes. Key features include a client portal, time tracking, workflow automation, reporting, billing and invoicing.      Case.one helps practitioners to view case details and manage legal practice workflows by tracking deadlines, preparing documents, sending emails and more. Practitioners can leverage ready-made document templates to store case information as well as use scenarios and rules to automate repetitive events and task assignments.      The task feature helps users to create tasks and distribute them among co-workers. Users can also set task priorities, create sub-tasks and track time spent by each worker to complete their assignments.      The case management feature allows users to create customizable case forms that are organized in folders. Users can access specific folders based on their job role and also arrange cases using drag-and-drop functionality.      The solution is priced on a monthly subscription basis.    ",https://www.softwareadvice.com/legal/case-one-profile,,
142,District Attorney Case Works,"District Attorney Case Works is a legal case management platform that helps district attorneys with managing their case information. The main features of District Attorney Case Works include grant incorporation, indictment services, report generation, document management, restitution recovery, and victim services.",https://www.softwareadvice.com/legal/district-attorney-case-works-profile,5.0,1.0
143,FactBox,"FactBox is a cloud-based legal management solution suitable for small to midsize practices in a variety of specialties. The solution is especially suitable in employment, personal injury, criminal defense and family law practices. Key features include evidence and fact-tracking management.      FactBox centralizes all content for cases in a single location. Facts and ideas can be categorized during the case-building process. All facts connected to a case can be sorted and filtered through the use of custom tags. Users can generate reports, which can then be edited as needed and sent to clients.      FactBox is available for purchase on a per-user, per-month basis.    ",https://www.softwareadvice.com/legal/factbox-profile,4.45,11.0
144,Smokeball,"Smokeball is the only cloud-based legal case management software that also runs from your desktop. Manage all of your matters with collaborative case management; customize your commonly used forms with a single click in document automation; pull up-to-date local forms from our library of 20,000+ court documents; track your billable hours across programs without a single click; bill, e-file, and collect all in one place. Try Smokeball law manager software and see all of its benefits for yourself! ",https://www.softwareadvice.com/legal/smokeball-profile,4.75,194.0
145,LawPay,"LawPay is an online payment technology that caters to the law industry, where it offers law professionals a secure and easy platform for making payments anywhere, anytime. The software guarantees user's payment acceptance in compliance with IOLTA and ABA guidelines.      The app connects securely with a majority of top-grade practice management solutions. It personalizes payment pages with the information of the law firm. The app is trusted and recommended by more than 50 bar councils, and is the only trusted payment solutions offered by the ABA advantage program.      LawPay also helps manage payments by providing detailed transaction information and refund payments. The app is integrated with more than 30 popular legal practice related platforms.    ",https://www.softwareadvice.com/legal/lawpay-profile,4.84,61.0
146,Custody X Change,"Custody X Change is a family law platform designed to help legal professionals and parents manage client scheduling and parenting plans. Key features include printable calendars, parenting plan templates, expense sharing, and time tracking.      Teams using Custody X Change can create legal documents as per child's needs from a built-in library of provisions, which can be printed or exported to be presented in negotiations. The solution allows users to generate shared parenting calendars comprising various details, such as holidays, vacations, and one-time events, which can be displayed and edited using mobile devices. Additionally, businesses can generate reports in order to track payments and expenses by maintaining time-stamped logs of journal entries.       Custody X Change enables parents to view time-difference reports, which can be printed and exported as PDF files, whilst gaining visibility into differences in planned vs. actual time. Pricing is available on monthly as well as annual subscription and support is extended via documentation, email, FAQs, and other online measures.     ",https://www.softwareadvice.com/legal/custody-x-change-profile,,
147,CaseFox,"CaseFox is a cloud-based billing and practice management solution for attorneys, CPAs, consultants, investigators, and other legal professionals. It is best suited for solo to large-size firms that are looking to streamline time tracking, invoice generation, and case management. This solution provides time-saving features to efficiently manage all client data and documents from one centralized platform. A CaseFox mobile app is available for iOS and Android devices.   The platform includes tools to simplify timekeeping and expense tracking for billable and non-billable hours, including a desktop timer and a quick time entry feature. Legal teams can categorize time entries by attaching UTBMS codes and track tasks using LEDES invoicing. Time entry notes can be exported as PDF and Excel files. CaseFox also supports custom field creation that can be utilized to securely store and encrypt case and client data as needed. Other features include an event/task calendar, hourly rate management, one-click invoicing and payment receipts, a client portal, an analytics dashboard, plus more.  Support is available via phone, email, a support portal, and other online resources.   *Please contact for ""Enterprise Plan"" there is customized pricing for it.",https://www.softwareadvice.com/enterprise-legal-management/casefox-profile,4.59,93.0
148,STUDIO,"STUDIO is a law practice management solution designed to help small to midsize firms handle litigation cases, telematic tax processing, legal documents and more. It enables administrators to streamline the entire payment lifecycle, from handling billing and invoicing operations to accepting remittance through various processing methods.      STUDIO allows attorneys and paralegals to manage civil mediation by preparing contracts for loans, condominium, property rights and leases. It comes with a judicial acts editor, which lets lawyers capture data related to client records and electronically file documents in real-time. Additionally, the application enables professionals to sync court hearing dates with the system's calendar.       STUDIO facilitates integration with various third-party platforms such as Microsoft Exchange, Office 365, Google Calendar and more. Pricing is available on request and support is extended via phone, email, documentation and other online measures.    ",https://www.softwareadvice.com/legal/studio-profile,,
149,InTouch,"InTouch is a cloud-based legal case management solution that enables property lawyers to manage documents, workflows, team communication and more. It comes with an application programming interface (API), which helps users integrate the platform with various third-party systems including Xero, Microsoft Outlook and others.      InTouch allows lawyers to merge PDFs and Microsoft Word documents, organize files using labels and back up data across multiple locations for future reference. Professionals can assign tasks to team members and build custom workflows to streamline conveyancing operations. Additionally, it lets users share documents with customers, agents, brokers and other relevant stakeholders via an online portal.       Intouch provides a white-labeled client portal, which helps customers gain visibility into case progress and upload documents. Pricing is available on request and support is extended via phone, email and FAQs.    ",https://www.softwareadvice.com/legal/intouch-profile,5.0,1.0
150,Ascent ELM,"ELM Data Integration Services unlock the full potential of your ELM solution with smart data, intelligently delivered. Capture and pass data from supporting applications such as:  Accounts Payable, IPMS, Claims, Document Management, CRM, ERP, and more directly into the Orbit ELM software. Our experts work with your business teams to provide the most applicable interfacing strategy through API, Web Services or Flat File feeds into a single information source. This additional service provides for a more transparent and collaborative business resource for all involved business units by eliminating the need to manually manage multiple data inputs, translations, and transfers.  Features:  1) Full-service implementation  2) Data integration services  3) Cloud Configuration  4) Vendor Onboarding  5) Legal Operations Optimization  6) Business Analytics & Reporting",https://www.softwareadvice.com/legal/orbit-elm-profile,,
151,CoCounselor,"CoCounselor provides a cloud-based legal management solution tailored specifically to the needs of plaintiff’s lawyers. With CoCounselor, users gain access to a suite of solutions that provide information on the performance of their firm at a glance so they can redirect resources and make changes as necessary.      CoCounselor’s tools include a tasks management feature designed to help firms delegate tasks linked to both the client and the case to anyone in the organization, round off with tags and pop-up reminders. The calendar module helps build custom workflows and can be shared with employees in the firm. The CoCounselor mobile app allows users to access their schedule and contacts for each case from anywhere.      Additionally, CoCounselor ensures firms are aware of how many cases they signed up in the past year, month, or week, provides automatic document creation and enables mass marketing emails to help grow client lists.    ",https://www.softwareadvice.com/legal/cocounselor-profile,4.57,61.0
152,LegalServer,"LegalServer is an online case management solution designed to help law firms manage and store legal documents, video or audio files, transcripts and emails on a unified platform. It enables lawyers and paralegals to segment caseloads by subject matter and assign them to colleagues.      It comes with a screening tool, which allows attorneys to automatically maintain a record of each client and perform pre-eligibility checks on them. The application offers a pro bono management module, which lets advocates capture information related to volunteers, open cases and internal communications. Additionally, LegalServer provides a reporting functionality to generate customizable reports, which can be exported into MS Excel format.      LegalServer facilitates integration with various third-party platforms, such as Twilio, Google Maps and more. Pricing is available on request and support is extended via phone, email, documentation and other online measures.    ",https://www.softwareadvice.com/legal/legalserver-profile,4.0,5.0
153,FullCourt,"FullCourt is a cloud-based legal solution that assists courts and prosecutors' offices with case management. It is primarily designed to help users prioritize tasks and record details on court cases.      Key features include case management, scheduling, fee management, fee collection, automated document creation, jury management, drug court management, child welfare management and document imaging. The platform assists courts with workflow automation and offers integrated solutions for electronic payments.      FullCourt is available in a browser-based interface that includes modular tools and applications. It comes with configuration, deployment, consulting, training, technical support and help desk support facilities. The platform integrates with police records management systems and other government offices and agencies.    ",https://www.softwareadvice.com/legal/fullcourt-profile,1.0,3.0
154,BHL Insight,"BHL Insight is a cloud-based and on-premise legal management solution that helps law firms manage workflows, accounting operations and marketing activities. It enables users to store customer contacts in an in-built database and create multiple client groups to send bulk invitations or newsletters for upcoming events.      Features of BHL Insight include general ledger, customizable templates, task administration, bank reconciliation, document management, alerts/notifications and more. It comes with an executive dashboard, which lets managers review the performance of teams, departments and individuals on a centralized platform. Additionally, users can utilize the time capture module to measure employee productivity via timesheets, time diary, fee entries or time clock.      BHL Insight facilitates integration with various third-party applications such as Microsoft Office, iManage, Hummingbird and more. Pricing is available on request and support is extended via phone, email and other online measures.    ",https://www.softwareadvice.com/legal/bhl-insight-profile,4.0,1.0
155,PartUs,"PartUs is a cloud-based solution that enables legal practices to streamline divorce processes including managing assets, debt worksheets, negotiations between parties and more. It helps lawyers manage case documents, communicate with opposing counsels, compare divorce proposals, among other administrative tasks.      PartUs allows law firms to utilize collaboration tools to share worksheets with clients, accountants or advisors and provide read-only/editing access based on case requirements. Clients or attorneys can share and review divorce proposals, highlight differences using the redlining functionality, track version history and exchange settlement offers. Additionally, users can add new cases, manage monthly budget worksheets, monitor audit trails and more.      PartUs lets lawyers control staff access, prioritize or reorder items in a worksheet and view recent activity across all cases. Pricing is based on case volume and support is extended via phone, email and online measures.    ",https://www.softwareadvice.com/legal/partus-profile,,
156,Conspectus,"Conspectus is an on-premise knowledge management solution that enables legal professionals to streamline processes related to fact gathering, report generation, cases, evidence extraction and more. It lets users identify relevant information across case documents, link facts with evidence's source and navigate through multiple case files using a document viewer.      Key features of Conspectus include full-text search, document management, custom drop-down menus and tagging. It allows attorneys to quickly sort/access key information and create custom reports related to case chronologies, pre-trial summaries and patent claim charts. Additionally, it helps users create a wiki database for each case, improving productivity and eliminating potential duplicate entries.      Conspectus integrates with various third-party document management systems such as iManage, NetDocuments and more. Pricing is available on request and support is extended via phone, email and other online measures.    ",https://www.softwareadvice.com/legal/conspectus-profile,5.0,4.0
157,EliteLaw,"EliteLaw is an all-in-one, lightweight, easy-to-use law firm management software that helps users manage their business more efficiently and with less stress. EliteLaw offers client registration, billing and payment, time tracking, case management, document management, reporting, accounting, and Human Resource management.  Every day more and more Law firms, lawyers and legal professionals use or have used EliteLaw for the digital management of their cases. For them, EliteLaw has become an indispensable tool.  With EliteLaw, we’re transforming how law firms are run. It allows users to spend less time on administrative tasks and more time with clients. With EliteLaw, users never have to think twice about where to find important case documents, file status, and contacts — everything is organized and easily accessible from any web browser or device. ",https://www.softwareadvice.com/legal/elitelaw-profile,4.5,2.0
158,Time Matters,"Time Matters is a cloud-based legal time management solution that allows law firms to improve internal collaboration, set data access controls, automate workflows and deliver in-depth insights. Key features include time capture, automated workflows and triggers, centralized document management, access and internal sharing controls, version control, activity history, and custom data views.   With Time Matters, businesses can track time, improve workflows by automating administrative tasks, and save time by collaborating with internal teams. Users can customize workflows for precedents, forms, and documents by automating tasks when specific triggers are set off. Time Matters can optimize information sharing among staff by maintaining a record of all documents for a case and providing access controls to restrict access to certain information to ensure compliance and reduce malpractice.   ",https://www.softwareadvice.com/legal/time-matters-profile,,
159,Docketwise,"Docketwise is a cloud-based legal case management solution that enables immigration lawyers and law firms to streamline processes related to clients' data collection, case tracking, invoicing and more. Professionals can utilize the platform to encrypt and secure data using the Amazon Simple Storage Service (Amazon S3).      Docketwise comes with an in-built form library, which helps lawyers access family, humanitarian or business immigration forms as per individual requirements. It lets users collect client information using multilingual questionnaires, assign tasks among team members and set up due dates or reminders. Additionally, immigration lawyers can share invoices with clients and send automated payment reminders to improve collection processes.      Docketwise comes with an application programming interface (API), which enables law firms to integrate the solution with several third-party systems such as Clio, Zapier and more. The product is available on annual or monthly subscriptions and support is extended via documentation.    ",https://www.softwareadvice.com/legal/docketwise-profile,4.86,81.0
160,ASCENT,"ASCENT is a cloud-based case management solution that lets law firms streamline the entire legal lifecycle, from handling matters to maintaining client records. It enables lawyers to create and electronically file documents such as contracts, affidavits and more in real-time.      Features of ASCENT include task management, collaboration, time recording, appointment scheduling, reporting and more. Professionals can utilize the query builder to access important information related to client contact details, case outcomes and payment statuses. Additionally, it allows attorneys to obtain a complete overview of business operations using SmartView analytics dashboard.      ASCENT comes with an application programming interface (API), which facilitates integration with Microsoft Outlook, an online communication platform to handle tasks and interact with clients. Pricing is available on request and support is extended via phone, email and other online measures.    ",https://www.softwareadvice.com/legal/ascent-profile,4.0,2.0
161,eLuminate,"eLuminate is a cloud-based solution designed to help advocates manage litigation cases related to social security disability, worker compensation, personal injury and creditor harassment. It enables law firms to handle leads, matters, client records and more on a centralized platform.      It comes with a document analyzer, which allows attorneys to prepare legal documents such as contracts, affidavits, medical forms and more using in-built templates. The application lets lawyers and paralegals add notes with automated timestamps for detailed record-keeping. Additionally, eLuminate provides a reporting module to generate campaign reports and gain insights into employees’ performances.      eLuminate facilitates integration with various third-party platforms, enabling businesses to push and pull data across systems. Pricing is available on request and support is extended via phone, email, documentation and other online measures.    ",https://www.softwareadvice.com/legal/eluminate-profile,5.0,1.0
162,CaseMap,"CaseMap is a legal management software that helps businesses track case progress and streamline litigation processes. It comes with a dashboard, which enables professionals to manage case documents and share files with team members, improving collaboration across the organization.      Firms can use CaseMap to add annotations or notes in documents, generate case reports and export them in CSV format for future reference. With its search functionality, firms can locate and retrieve specific case facts or files from the database. Additionally, it lets users create new cases and distribute reporting tasks among team members.      CaseMap enables lawyers to organize witness lists, case chronology, document indices, privilege logs, deposition summaries and case issues using spreadsheets. Pricing is available on monthly subscriptions and support is extended via phone, live chat, FAQs, documentation and other online measures.    ",https://www.softwareadvice.com/legal/casemap-profile,4.16,19.0
163,SignWell,"SignWell is a cloud-based electronic signature solution that caters to various services such as legal, education, HR, sales automation, IT, and more. Key features include document workflows, built-in templates, document tracking and status notifications.   SignWell complies with industry standard e-signature laws and helps users to convert their sales and tracking documents to custom templates. SignWell also enables users to send various sales documents such as proposals, bids and estimates to their clients and get their approvals on the relevant documents.   Additionally, SignWell provides users with field suggest capability and the functionality to manage the contributions of multiple people working on specific documents. Services are available on a monthly or annual subscription basis that includes helpful support from real people (not automated).  ",https://www.softwareadvice.com/legal/docsketch-profile,4.84,134.0
164,Minutes Depot,"Minutes Depot is a collaboration solution that helps small businesses and non-profit organizations manage and share meeting minutes or summaries with participants. It allows hosts users to create agendas and update recurring items or subjects, improving visibility and collaboration among stakeholders.       Minutes Depot enables businesses to automatically generate documents with pre-defined information such as user name, company name, shareholder details and more. Administrators can set up permission and access rights, restricting users to share, view and edit documents. Professionals can utilize customizable templates to create legal documents such as non-disclosure agreements, resolutions and more. Additionally, users can access shared files by entering unique keys received via email and SMS.       Minutes Depot allows stakeholders to utilize the eSigning capabilities to validate documents and certificates. It is available on monthly subscriptions and support is extended via live chat, phone, email and other measures.    ",https://www.softwareadvice.com/legal/minutes-depot-profile,4.88,8.0
165,Liberate,"Liberate is a legal management platform that assists firms with various administrative operations such as financial management, collaboration, reporting and more. Key features include bank reconciliation, KPI monitoring, billing, document storage, electronic forms and regulatory compliance.      Liberate comes with a dashboard, which enables businesses to access client records and maintain an audit trail of previous transactions. Professionals can utilize the nominal ledger to generate reports on profit/loss, balance sheet, accruals, pre-payments and budget variance. Additionally, with its credit control module, users can monitor customers' installments or settlement dates and create documents such as statements, memos or official letters.      Using Liberate's time recording functionality, organizations can calculate billable/non-billable hours and record entries in the timesheet. Pricing is available on request and support is extended via phone, email and other online measures.    ",https://www.softwareadvice.com/legal/liberate-profile,,
166,Provy,"Provy is a cloud-based legal case management solution that enables law firms to streamline processes related to team collaboration, client communications and more. Professionals can utilize the platform to add tasks, set up due dates and attach files as per individual requirements.      Key features of Provy include contact import/export, cloud storage, multi-channel messenger and customizable branding. It lets users track cases, communicate with customers via chat or email and create questionnaires with drop-down menus, custom fields and multiple-choice questions. Additionally, lawyers can gain visibility into stakeholders' information, leads, notes, events, case files and other important details.      Provy comes with an in-built calendar, which helps professionals manage events, reminders and deadlines. The solution is available on monthly and annual subscriptions and support is extended via email.    ",https://www.softwareadvice.com/legal/provy-profile,,
167,VCM,"VCM is a legal management platform that helps private investigators, law firms, claims adjustors and corporations manage administrative and accounting operations. It enables professionals to access case information, assign tasks to staff members and receive automated reminders before upcoming appointments.       Key features of VCM include document management, regulatory compliance, expense tracking, reporting and invoice processing. It allows managers to store client/vendors' details in a centralized database and communicate with them via emails or messages, improving collaboration across the organization. Additionally, the solution secures critical data with 256-bit encryption, biometric access and session time-out messages.      VCM facilitates integration with various party-applications such as Quickbooks, Google Cloud, Dropbox, OneDrive and more. Pricing is available on monthly subscriptions and support is extended via FAQs, phone and an inquiry form.    ",https://www.softwareadvice.com/legal/vcm-profile,,
168,Docket Alarm,"Docket Alarm is a cloud-based legal management platform that helps businesses access court records and streamline administrative operations. Using its search functionality, professionals can retrieve case information from federal, bankruptcy, state or intellectual property specialty courts and law agencies.      Key features of Docket Alarm include optical character recognition (OCR), matter management, single sign-on (SSO), event calendar and reporting. It comes with an analytics workbench module, which lets users gain insights into Patent Trial and Appeal Board's (PTAB) activities, judicial profiles or case flows through predictive analytics. Managers can receive automated alerts about new lawsuits, download docket entries and export case information.       Docket Alarm provides an application programming interface (API), which enables organizations to modify the system and integrate it with various third-party applications. Pricing is available on monthly subscriptions and support is extended via     ",https://www.softwareadvice.com/legal/docket-alarm-profile,4.46,13.0
169,RTG Bills,"RTG Bills is a legal billing and time tracking solution that helps law firms streamline operations related to trust accounting, split billing, contingent fees and late charges. The built-in digital stopwatch lets attorneys capture total time spent with clients to generate bills accordingly.  RTG Bills enables users to create new fee transactions with details, such as date, activity description, matter information, and fee type. Administrators can use the customizable bill formats to create client reminder letters, cover pages and letterheads with firm name, address and phone number. Additionally, it enables lawyers to configure multiple hourly rates, such as standard, special or discounted rates.  RTG Bills allows users to set up minimum fee and expense thresholds to automatically trigger client billing. It is available on a perpetual license and support is extended via FAQs, documentation and email.  ",https://www.softwareadvice.com/legal/rtg-bills-profile,4.71,80.0
170,Express License Management,"Essential by Anaqua is a cloud-based legal management solution that helps law firms of all sizes to manage their patents, inventions. Key features include case management, document management, calendaring, docketing, time tracking, billing and invoicing and more.      Essential offers attorneys, paralegals and admins mobile functionality that allows them to manage their business activities via various devices with an internet connection. A branded client portal facilitates communication and allows clients to access status updates and on-demand reporting. The solution's intake module helps users to manage risks with data validation, communication management and integrates application drafting.      Additionally, Essential features client and contact management, drafting and review capabilities, offline action response, strategic counseling and infringement analysis and IP litigation. Support is offered via phone, email and online product videos.    ",https://www.softwareadvice.com/legal/essential-lp-profile,4.5,2.0
171,TrialLine,"TrialLine is a cloud-based mediation, trial presentation and legal timeline solution that helps attorneys to organize and share case events and related documents with staff, experts, juries and opposing counsel.      Users can create multiple events for a case and create text summaries, explanations or theoretical notes for each event, which are compiled into a timeline. Related documents can be attached to each event for review or to share with others.      TrialLine is also accessible using desktop and mobile devices, which enables remote access. Users can export documents such as medical record summaries and event reports from TrialLine and save them on local machines.      TrialLine offers services on a monthly subscription basis that includes support via phone, email, an online portal and through an online knowledge base.    ",https://www.softwareadvice.com/legal/trialline-profile,5.0,2.0
172,PrimaFacie,"PrimaFacie is a cloud-based legal case management solution that enables immigration attorneys to streamline operations related to data collection, form filling and more. Professionals can utilize the platform to send questionnaires to clients, enabling them to collect information and import relevant data into the database.      PrimaFacie offers a reverse autofill functionality, which allows attorneys to collect and save information, improving form filling processes. It provides various tools for users to track clients' visa bulletin dates or United States Citizenship and Immigration Services (USCIS) receipt numbers and review document expiration dates. Additionally, it helps professionals import forms and addendums, create custom case templates and share files with clients for review/approval.      PrimaFacie facilitates integration with several third-party systems such as Zapier, Clio, PracticePanther and more. The solution is available on monthly and annual subscriptions and support is extended via live chat, email, phone and other online measures.    ",https://www.softwareadvice.com/legal/primafacie-profile,3.75,4.0
173,TranscriptPro,"TranscriptPro is a legal management software that provides businesses with tools to handle cases and manage video depositions. Using the platform, professionals can create new cases with details including case name, folder name, matter number, mediation date, trial date and important notes.       TranscriptPro allows organizations to edit video depositions according to judges' instructions and utilize the search functionality to locate specific words or phrases across documents. Lawyers can use the drag-and-drop interface to upload transcripts, files and synchronized deposition clips on the platform. Additionally, it lets users import transcription summaries and edit, highlight or bookmark issues as per individual requirements.       TranscriptPro enables firms to preview and save case transcriptions in various formats such as PDF, MHT, RTF, XLS, CSV and more. The product is available on a one-time license basis and support is extended via phone, email and other online measures.    ",https://www.softwareadvice.com/legal/transcriptpro-profile,,
174,Della,"Della is an AI-powered contract review platform.  Using proprietary AI, Della allows lawyers to ask questions about their contracts, in plain English (and other languages), and get clear answers. Della learns every time you use it and recognizes that lawyers don’t think about contracts in terms of ‘extracting clause X or Y’, they just want to find the answer to a query. Quickly.  Traditional contract review focuses on clause detection and data extraction, Della focuses on the questions we want to ask of our contracts. Allowing users to focus on legal work, not paperwork or tech. It takes 10 mins for a new user to start using Della. Our models learn directly from any interactions, allowing users to review docs faster every time. Powered by massive language models, Della reduces time-to-value, while ensuring the use of a sophisticated tool is achievable for smaller firms.",https://www.softwareadvice.com/legal/della-profile,,
175,Knackly,"Knackly is a document automation solution, which helps law firms streamline file creation and client intake processes on a unified platform. It provides various tools such as Word designer, conditional logic, nested lists, formulas and more.      Knackly supports several types of legal documents such as business contracts, engagement letters, loan agreements, pleadings and promissory notes, among others. Its Microsoft Word add-in tool enables professionals to create file templates for various purposes. Additionally, law firms can receive notifications about filled forms and store documents in a secure cloud-based repository.      Knackly offers APIs, which helps businesses integrate the platform with multiple third-party systems. The product is available on monthly or annual subscriptions and support is extended via live chat, phone, documentation and video tutorials.    ",https://www.softwareadvice.com/legal/knackly-profile,4.6,5.0
176,GhostPractice,"GhostPractice is a law practice management solution, which enables legal firms to streamline trust accounting, bank reconciliation, time tracking and other administrative processes. Professionals can match and compare bank statements and generate reports on debt recovery status and debtor summary statements.  Key features of GhostPractice include general ledger, customizable reports, case management and audit logs. Businesses can create mailing lists for email marketing campaigns and store information related to cases, clients, tasks, documents, billing and accounting in a centralized repository.  Additionally, administrators can track time or costs for each task, import data in bulk and manage contacts individually or based on groups.  GhostPractice's pricing is available on request and support is extended via phone, email and other online measures.  ",https://www.softwareadvice.com/legal/ghostpractice-profile,4.9,10.0
177,SmartVault,"SmartVault is a document management software that enables businesses across various industry verticals such as construction, financial, accounting, and manufacturing handle sharing and storage of documents in a centralized repository. Organizations can design a personalized portal with custom logos to establish brand identity with clients.      SmartVault includes custom workflows, which allow enterprises to automate uploading, scanning and distribution of documents with internal and external stakeholders. It offers numerous features such as two-factor authentication, drag-and-drop capabilities, file versioning, payment processing, full-text search, collaboration management, electronic signature capturing and more. Additionally, administrators can ensure compliance with CCPA, GDPR, SEC, GLBA, FINRA and other legal and industrial standards.      SmartVault facilitates integration with various third-party applications like Salesforce, Hubdoc, TaxCalc, Xero, FreshBooks, Method CRM, Microsoft Outlook and more. It is available on annual/monthly subscriptions and support is extended via phone, email, FAQs and other online measures.    ",https://www.softwareadvice.com/legal/smartvault-profile,4.38,120.0
178,NAVEX,"NAVEX Global is a fully integrated compliance management system that allows businesses to consolidate their entire GRC program onto a scalable cloud-based platform. The suite of GRC software and training tools offers functionality to navigate global regulatory compliance, accessibility, communication and change management.      PolicyTech is a policy management solution that enables users to manage accessibility, version control and delivery of company policies with centralized automation to track compliance and gauge employee comprehension.      EthicsPoint allows users to capture, investigate and resolve ethics and compliance reports, concerns and questions from across your organization in a centralized database.      NAVEXEngage provides compliance online training and targeted risk-based trainings to specific departments and allows users to track completion, meet legal requirements and support behavior change with scenario-based learning experiences.      RiskRate is a third-party risk management solution that performs around-the-clock, automated third-party risk monitoring and due diligence.    ",https://www.softwareadvice.com/legal/policytech-profile,3.93,22.0
179,LawClerk,"LAWCLERK is an online legal-service marketplace designed to help small law firms select and hire freelance lawyers. Features include document sharing, prioritization, secure data storage, project management, and user verification.      The application enables attorneys to post projects such as memos, motions, pleadings, and agreements and set up a fee, letting interested lawyers apply to offer their services. Firms can select professionals by examining resumes, writing samples and peer reviews. Attorneys can assign projects, modify related description and add deadlines through the dashboard. The solution also ensures secured communication between lawyers and hiring firms, allowing interaction via emails/text messages from the platform.      LAWCLERK offers integration with Clio, a third-party practice management solution, helping professionals streamline task scheduling, billing and more. Support for the solution is provided via email, phone and documentation.    ",https://www.softwareadvice.com/legal/lawclerk-profile,,
180,LeanLaw,"LeanLaw is a cloud-based timekeeping and billing solution for small to midsize legal practices. Key features include time tracking, billing and invoicing, financial reporting and Quickbooks integration. A free mobile app is also available for Android and iOS devices.      LeanLaw includes a desktop timekeeping widget that can be used along with the mobile app to track billable time for every case. The app also supports voice-to-text note-taking. Through the Quickbooks integration, time entries can be automatically converted into invoices. Users are also able to receive payments electronically through the Intuit Payment Network.      LeanLaw also features a financial dashboard with various reporting options including billables and receivables, hours summary and fixed-fee details.      The solution is available for purchase on a per month or annual subscription basis.    ",https://www.softwareadvice.com/legal/leanlaw-profile,,
181,Amicus Attorney,"Amicus Attorney is a legal case management software solution to help you manage your growing law practice. Access every case detail in a single, intuitive solution. Automatically capture client and case information, track billable time at every step, organize business-critical deadlines, appointments and tasks, assemble documents, and generate invoices that can be delivered via email and paid online. With a new mobile app, Amicus Anywhere for web access, and a client portal for secure collaboration, your remote work options are covered.   Amicus integrates with essential apps like QuickBooks, Office365, Dropbox, PC Law, Google Calendar, and Sage Timeslips. You even have flexible deployment options, choose Amicus either on-premise or in a compliance focused private cloud.   ",https://www.softwareadvice.com/legal/amicus-attorney-profile,3.67,194.0
182,PCLaw,"PCLaw is a legal accounting and practice management solution that helps businesses manage clients, cases and matters, reporting, finances, banking reconciliation and billing processes. The software is designed for small to midsize law firms to help them track real-time activity and gain a 360&deg; view of work operations.   PCLaw Go, a mobile timekeeping application for iOS and Android devices, allows professionals to capture billable hours and update client ledgers even from remote locations. Apart from cloud and mobile, PCLaw can also be installed on Windows and Mac operating systems. The user interface of the software provides insights into billed time, fees, billing, payments and business finances with the help of visual analytics. Also, customizable security settings let firms maintain regulatory compliance and give selective user rights to team members. It enables integrations with third-party software for complete data management.   PCLaw is available for a per user monthly subscription.  ",https://www.softwareadvice.com/legal/pclaw-profile,,
